booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012216558RT11,16558,2022-04-27,2022-05-01,2022-05-02,3,RT1,direct online,1.0,Checked Out,10010,10010
May012216558RT12,16558,2022-04-30,2022-05-01,2022-05-02,2,RT1,others,,Cancelled,9100,3640
May012216558RT13,16558,2022-04-28,2022-05-01,2022-05-04,2,RT1,logtrip,5.0,Checked Out,9100,9100
May012216558RT14,16558,2022-04-28,2022-05-01,2022-05-02,2,RT1,others,,Cancelled,9100,3640
May012216558RT15,16558,2022-04-27,2022-05-01,2022-05-02,4,RT1,direct online,5.0,Checked Out,10920,10920
May012216558RT16,16558,2022-05-01,2022-05-01,2022-05-03,2,RT1,others,4.0,Checked Out,9100,9100
May012216558RT17,16558,2022-04-28,2022-05-01,2022-05-06,2,RT1,others,,Cancelled,9100,3640
May012216558RT18,16558,2022-04-26,2022-05-01,2022-05-03,2,RT1,logtrip,,No Show,9100,9100
May012216558RT19,16558,2022-04-30,2022-05-01,2022-05-02,2,RT1,tripster,,Checked Out,9100,9100
May012216558RT110,16558,2022-04-28,2022-05-01,2022-05-02,1,RT1,others,4.0,Checked Out,9100,9100
May012216558RT111,16558,2022-04-29,2022-05-01,2022-05-07,1,RT1,makeyourtrip,5.0,Checked Out,9100,9100
May012216558RT112,16558,2022-04-26,2022-05-01,2022-05-02,2,RT1,logtrip,5.0,Checked Out,9100,9100
May012216558RT113,16558,2022-04-26,2022-05-01,2022-05-07,2,RT1,makeyourtrip,5.0,Checked Out,9100,9100
May012216558RT114,16558,2022-04-30,2022-05-01,2022-05-05,1,RT1,logtrip,,Cancelled,9100,3640
May012216558RT115,16558,2022-04-29,2022-05-01,2022-05-02,2,RT1,others,,Checked Out,9100,9100
May012216558RT116,16558,2022-04-27,2022-05-01,2022-05-03,4,RT1,journey,,Checked Out,10920,10920
May012216558RT117,16558,2022-04-29,2022-05-01,2022-05-02,3,RT1,direct offline,,Checked Out,10010,10010
May012216558RT118,16558,2022-04-27,2022-05-01,2022-05-02,2,RT1,others,,Checked Out,9100,9100
May012216558RT21,16558,2022-04-07,2022-05-01,2022-05-06,2,RT2,others,,Checked Out,12600,12600
May012216558RT22,16558,2022-04-30,2022-05-01,2022-05-03,2,RT2,others,5.0,Checked Out,12600,12600
May012216558RT23,16558,2022-04-10,2022-05-01,2022-05-07,1,RT2,makeyourtrip,,Checked Out,12600,12600
May012216558RT24,16558,2022-04-29,2022-05-01,2022-05-03,3,RT2,others,,Cancelled,13860,5544
May012216558RT25,16558,2022-04-26,2022-05-01,2022-05-02,1,RT2,direct offline,,Cancelled,12600,5040
May012216558RT26,16558,2022-04-27,2022-05-01,2022-05-02,2,RT2,direct offline,4.0,Checked Out,12600,12600
May012216558RT27,16558,2022-04-26,2022-05-01,2022-05-07,3,RT2,direct offline,,Cancelled,13860,5544
May012216558RT28,16558,2022-05-01,2022-05-01,2022-05-02,2,RT2,others,,Checked Out,12600,12600
May012216558RT29,16558,2022-04-25,2022-05-01,2022-05-02,2,RT2,logtrip,,Checked Out,12600,12600
May012216558RT210,16558,2022-04-27,2022-05-01,2022-05-02,2,RT2,others,4.0,Checked Out,12600,12600
May012216558RT211,16558,2022-04-30,2022-05-01,2022-05-07,2,RT2,makeyourtrip,,Cancelled,12600,5040
May012216558RT212,16558,2022-04-27,2022-05-01,2022-05-02,2,RT2,others,5.0,Checked Out,12600,12600
May012216558RT213,16558,2022-04-29,2022-05-01,2022-05-02,2,RT2,logtrip,4.0,Checked Out,12600,12600
May012216558RT214,16558,2022-04-26,2022-05-01,2022-05-03,4,RT2,others,4.0,Checked Out,15120,15120
May012216558RT215,16558,2022-04-29,2022-05-01,2022-05-04,2,RT2,direct offline,,No Show,12600,12600
May012216558RT216,16558,2022-04-28,2022-05-01,2022-05-03,1,RT2,others,5.0,Checked Out,12600,12600
May012216558RT217,16558,2022-04-29,2022-05-01,2022-05-07,4,RT2,makeyourtrip,,Cancelled,15120,6048
May012216558RT218,16558,2022-04-24,2022-05-01,2022-05-02,1,RT2,logtrip,5.0,Checked Out,12600,12600
May012216558RT219,16558,2022-04-10,2022-05-01,2022-05-02,3,RT2,others,5.0,Checked Out,13860,13860
May012216558RT220,16558,2022-04-27,2022-05-01,2022-05-04,2,RT2,tripster,,Checked Out,12600,12600
May012216558RT221,16558,2022-04-25,2022-05-01,2022-05-03,2,RT2,direct online,5.0,Checked Out,12600,12600
May012216558RT31,16558,2022-04-27,2022-05-01,2022-05-03,3,RT3,others,3.0,Checked Out,18480,18480
May012216558RT32,16558,2022-04-24,2022-05-01,2022-05-06,4,RT3,makeyourtrip,,Checked Out,20160,20160
May012216558RT33,16558,2022-04-26,2022-05-01,2022-05-07,2,RT3,makeyourtrip,,Checked Out,16800,16800
May012216558RT34,16558,2022-04-29,2022-05-01,2022-05-02,1,RT3,others,5.0,Checked Out,16800,16800
May012216558RT35,16558,2022-04-29,2022-05-01,2022-05-04,3,RT3,others,,Checked Out,18480,18480
May012216558RT36,16558,2022-04-29,2022-05-01,2022-05-03,2,RT3,others,,Checked Out,16800,16800
May012216558RT37,16558,2022-04-27,2022-05-01,2022-05-02,1,RT3,logtrip,,Checked Out,16800,16800
May012216558RT38,16558,2022-04-27,2022-05-01,2022-05-03,1,RT3,makeyourtrip,,Checked Out,16800,16800
May012216558RT41,16558,2022-04-26,2022-05-01,2022-05-03,2,RT4,logtrip,,Cancelled,26600,10640
May012216558RT42,16558,2022-04-27,2022-05-01,2022-05-02,1,RT4,tripster,,Checked Out,26600,26600
May012216558RT43,16558,2022-04-29,2022-05-01,2022-05-04,2,RT4,direct offline,,Cancelled,26600,10640
May012216559RT11,16559,2022-04-28,2022-05-01,2022-05-03,2,RT1,journey,3.0,Checked Out,11050,11050
May012216559RT12,16559,2022-04-29,2022-05-01,2022-05-06,2,RT1,makeyourtrip,5.0,Checked Out,11050,11050
May012216559RT13,16559,2022-04-27,2022-05-01,2022-05-02,1,RT1,tripster,,Cancelled,11050,4420
May012216559RT14,16559,2022-04-29,2022-05-01,2022-05-03,3,RT1,direct offline,5.0,Checked Out,12155,12155
May012216559RT15,16559,2022-04-29,2022-05-01,2022-05-02,3,RT1,others,5.0,Checked Out,12155,12155
May012216559RT16,16559,2022-04-11,2022-05-01,2022-05-02,2,RT1,tripster,,Checked Out,11050,11050
May012216559RT17,16559,2022-04-30,2022-05-01,2022-05-02,2,RT1,others,,Checked Out,11050,11050
May012216559RT18,16559,2022-04-28,2022-05-01,2022-05-03,1,RT1,direct online,,Cancelled,11050,4420
May012216559RT19,16559,2022-04-29,2022-05-01,2022-05-02,1,RT1,others,5.0,Checked Out,11050,11050
May012216559RT110,16559,2022-04-27,2022-05-01,2022-05-06,2,RT1,others,5.0,Checked Out,11050,11050
May012216559RT111,16559,2022-04-28,2022-05-01,2022-05-02,2,RT1,makeyourtrip,,Checked Out,11050,11050
May012216559RT112,16559,2022-04-11,2022-05-01,2022-05-06,1,RT1,journey,5.0,Checked Out,11050,11050
May012216559RT113,16559,2022-04-26,2022-05-01,2022-05-02,2,RT1,others,,Cancelled,11050,4420
May012216559RT114,16559,2022-04-10,2022-05-01,2022-05-07,1,RT1,logtrip,,Checked Out,11050,11050
May012216559RT115,16559,2022-05-01,2022-05-01,2022-05-03,2,RT1,tripster,,Checked Out,11050,11050
May012216559RT116,16559,2022-04-27,2022-05-01,2022-05-06,3,RT1,journey,,Cancelled,12155,4862
May012216559RT117,16559,2022-04-25,2022-05-01,2022-05-03,4,RT1,direct offline,,Cancelled,13260,5304
May012216559RT118,16559,2022-04-27,2022-05-01,2022-05-03,2,RT1,others,,No Show,11050,11050
May012216559RT119,16559,2022-04-29,2022-05-01,2022-05-06,2,RT1,direct offline,5.0,Checked Out,11050,11050
May012216559RT120,16559,2022-04-27,2022-05-01,2022-05-02,2,RT1,makeyourtrip,5.0,Checked Out,11050,11050
May012216559RT121,16559,2022-04-29,2022-05-01,2022-05-03,4,RT1,others,4.0,Checked Out,13260,13260
May012216559RT122,16559,2022-04-27,2022-05-01,2022-05-06,2,RT1,makeyourtrip,,Checked Out,11050,11050
May012216559RT123,16559,2022-04-29,2022-05-01,2022-05-06,1,RT1,logtrip,,Cancelled,11050,4420
May012216559RT124,16559,2022-04-27,2022-05-01,2022-05-04,2,RT1,others,,Cancelled,11050,4420
May012216559RT125,16559,2022-04-29,2022-05-01,2022-05-04,2,RT1,logtrip,,Checked Out,11050,11050
May012216559RT21,16559,2022-04-27,2022-05-01,2022-05-02,3,RT2,direct offline,,Checked Out,16830,16830
May012216559RT22,16559,2022-04-28,2022-05-01,2022-05-06,2,RT2,direct online,3.0,Checked Out,15300,15300
May012216559RT23,16559,2022-04-25,2022-05-01,2022-05-02,3,RT2,makeyourtrip,5.0,Checked Out,16830,16830
May012216559RT24,16559,2022-04-26,2022-05-01,2022-05-02,1,RT2,journey,,Checked Out,15300,15300
May012216559RT25,16559,2022-05-01,2022-05-01,2022-05-04,2,RT2,others,5.0,Checked Out,15300,15300
May012216559RT26,16559,2022-04-29,2022-05-01,2022-05-07,2,RT2,others,,Checked Out,15300,15300
May012216559RT27,16559,2022-05-01,2022-05-01,2022-05-02,4,RT2,others,,Cancelled,18360,7344
May012216559RT28,16559,2022-04-28,2022-05-01,2022-05-03,2,RT2,journey,3.0,Checked Out,15300,15300
May012216559RT29,16559,2022-04-25,2022-05-01,2022-05-05,3,RT2,makeyourtrip,5.0,Checked Out,16830,16830
May012216559RT210,16559,2022-04-30,2022-05-01,2022-05-05,3,RT2,journey,,Checked Out,16830,16830
May012216559RT211,16559,2022-04-25,2022-05-01,2022-05-03,4,RT2,direct online,5.0,Checked Out,18360,18360
May012216559RT212,16559,2022-04-25,2022-05-01,2022-05-07,2,RT2,direct online,,Cancelled,15300,6120
May012216559RT213,16559,2022-04-27,2022-05-01,2022-05-02,1,RT2,logtrip,5.0,Checked Out,15300,15300
May012216559RT214,16559,2022-04-29,2022-05-01,2022-05-06,2,RT2,makeyourtrip,1.0,Checked Out,15300,15300
May012216559RT215,16559,2022-04-30,2022-05-01,2022-05-02,1,RT2,makeyourtrip,,Cancelled,15300,6120
May012216559RT216,16559,2022-04-26,2022-05-01,2022-05-02,2,RT2,makeyourtrip,5.0,Checked Out,15300,15300
May012216559RT217,16559,2022-04-28,2022-05-01,2022-05-03,4,RT2,logtrip,,Checked Out,18360,18360
May012216559RT218,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,makeyourtrip,2.0,Checked Out,15300,15300
May012216559RT219,16559,2022-04-29,2022-05-01,2022-05-02,3,RT2,others,,No Show,16830,16830
May012216559RT220,16559,2022-04-26,2022-05-01,2022-05-02,2,RT2,makeyourtrip,,Cancelled,15300,6120
May012216559RT221,16559,2022-04-25,2022-05-01,2022-05-02,2,RT2,others,3.0,Checked Out,15300,15300
May012216559RT222,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,direct online,,Cancelled,15300,6120
May012216559RT223,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,journey,,Checked Out,15300,15300
May012216559RT224,16559,2022-04-28,2022-05-01,2022-05-03,1,RT2,makeyourtrip,1.0,Checked Out,15300,15300
May012216559RT225,16559,2022-04-30,2022-05-01,2022-05-05,2,RT2,makeyourtrip,1.0,Checked Out,15300,15300
May012216559RT226,16559,2022-04-29,2022-05-01,2022-05-02,4,RT2,others,5.0,Checked Out,18360,18360
May012216559RT227,16559,2022-04-29,2022-05-01,2022-05-03,2,RT2,tripster,,No Show,15300,15300
May012216559RT228,16559,2022-04-28,2022-05-01,2022-05-02,4,RT2,logtrip,5.0,Checked Out,18360,18360
May012216559RT229,16559,2022-04-24,2022-05-01,2022-05-07,2,RT2,others,5.0,Checked Out,15300,15300
May012216559RT230,16559,2022-04-24,2022-05-01,2022-05-02,2,RT2,tripster,,Checked Out,15300,15300
May012216559RT231,16559,2022-04-29,2022-05-01,2022-05-03,2,RT2,others,,Checked Out,15300,15300
May012216559RT232,16559,2022-05-01,2022-05-01,2022-05-05,1,RT2,others,,Checked Out,15300,15300
May012216559RT233,16559,2022-04-27,2022-05-01,2022-05-03,2,RT2,others,4.0,Checked Out,15300,15300
